Symptoms,Disease,Description,Precautions,Disclaimer
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"fever, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
